,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,morros,-9.4467,-46.3003,73.45,60,13,2.53,BR,1620781927
367,araouane,18.9048,-3.5265,91.71,16,62,6.85,ML,1620781928
368,tiznit,29.5833,-9.5,60.78,54,0,0.85,MA,1620781929
369,vilhena,-12.7406,-60.1458,69.37,64,14,3.24,BR,1620781676
370,sakaraha,-22.9,44.5333,59.49,85,0,1.77,MG,1620781929
371,alta floresta,69.9689,23.2717,37.4,87,90,2.3,NO,1620781930
372,nhulunbuy,-12.2333,136.7667,86.0,62,40,17.27,AU,1620781931
373,tiarei,-17.5333,-149.3333,86.0,62,75,10.36,PF,1620781931
374,yar-sale,66.8333,70.8333,32.9,88,90,5.75,RU,1620781932
375,morro bay,-2.6332,-80.3274,73.53,82,3,10.87,EC,1620781932
376,malegaon,20.55,74.5333,79.29,53,10,9.42,IN,1620781932
377,dubai,25.2582,55.3047,82.4,69,5,4.61,AE,1620781733
378,ukiah,39.1502,-123.2078,87.8,14,1,9.22,US,1620781758
379,kota kinabalu,25.1833,75.8333,88.21,30,75,9.31,IN,1620781933
380,ginda,30.6945,78.4932,56.73,73,62,5.21,IN,1620781934
381,dyurtyuli,55.4911,54.8688,57.94,58,9,2.82,RU,1620781934
382,ellisras,-23.6649,27.7443,56.37,59,0,2.44,ZA,1620781936
383,ahipara,-35.1667,173.1667,67.32,80,100,7.38,NZ,1620781936
384,benxi,41.2886,123.765,62.6,63,0,8.95,CN,1620781937
385,inirida,3.8653,-67.9239,70.43,99,100,1.3,CO,1620781816
386,iquitos,-3.7481,-73.2472,75.2,94,75,2.3,PE,1620781937
387,grand river south east,38.8755,-109.5012,69.01,11,1,3.44,US,1620781938
388,korla,41.7597,86.1469,62.53,43,100,23.78,CN,1620781938
389,okha,53.5739,142.9478,41.81,62,9,8.55,RU,1620781939
390,maloy,61.9353,5.1136,46.0,74,99,6.69,NO,1620781940
391,kahului,20.8947,-156.47,82.4,51,20,24.16,US,1620781916
392,alice town,27.7523,-98.0697,86.0,74,1,14.97,US,1620781940
393,plouzane,48.3833,-4.6167,50.0,87,75,6.91,FR,1620781941
394,guder,8.9667,37.7667,57.15,82,21,2.48,ET,1620781941
395,horqueta,-23.3428,-57.0597,61.0,86,100,6.42,PY,1620781942
396,tazovskiy,67.4667,78.7,30.04,89,100,7.47,RU,1620781942
397,moose factory,43.6558,-110.7183,46.4,70,40,8.05,US,1620781943
398,karratha,-20.7377,116.8463,82.17,33,0,8.66,AU,1620781943
399,loiza,18.4313,-65.8802,78.8,83,40,5.75,PR,1620781944
400,yeppoon,-23.1333,150.7333,80.6,65,20,8.05,AU,1620781944
401,ixtapa,20.7,-105.2,82.4,69,75,9.22,MX,1620781944
402,tuim,54.3417,89.9261,49.6,55,99,3.8,RU,1620781945
403,bairiki,1.3292,172.9752,87.8,70,75,12.66,KI,1620781946
404,jeremie,18.65,-74.1167,80.08,80,94,2.89,HT,1620781946
405,atyrau,47.1167,51.8833,55.4,94,40,8.95,KZ,1620781947
406,lebyazhye,55.2689,66.4947,54.73,46,52,7.49,RU,1620781947
407,ribas do rio pardo,41.4547,-8.0175,54.0,91,100,3.0,PT,1620781948
408,cairns,-16.9167,145.7667,87.01,65,100,6.91,AU,1620781948
409,denpasar,-8.65,115.2167,82.4,83,40,11.5,ID,1620781758
410,saldanha,-33.0117,17.9442,51.8,87,0,3.44,ZA,1620781949
411,penzance,50.1186,-5.5371,48.2,87,20,10.36,GB,1620781949
412,asmar,35.0333,71.3581,65.19,55,0,7.45,AF,1620781950
413,villa rica,46.2039,10.1339,51.01,92,100,5.3,IT,1620781950
414,ovsyanka,55.9575,92.5519,48.2,53,0,4.47,RU,1620781951
415,salalah,17.0151,54.0924,82.4,83,40,5.75,OM,1620781952
416,swellendam,-34.0226,20.4417,55.4,88,0,6.91,ZA,1620781952
417,itinga,-16.6131,-41.7653,63.46,67,6,2.77,BR,1620781953
418,marovoay,-16.1,46.6333,73.4,94,20,3.44,MG,1620781953
419,puerto escondido,36.5939,-6.233,60.8,77,0,5.75,ES,1620781760
420,matagami,49.7502,-77.6328,48.2,57,1,16.11,CA,1620781954
421,airai,-8.9266,125.4092,69.39,57,1,4.23,TL,1620781955
422,richards bay,46.8361,-95.9123,59.0,21,1,3.44,US,1620781955
423,astana,51.1801,71.446,48.2,61,0,6.71,KZ,1620781956
424,paita,-5.0892,-81.1144,69.89,74,0,16.58,PE,1620781957
425,sungairaya,0.7,108.9,82.94,81,99,3.8,ID,1620781957
426,ambilobe,-13.2,49.05,69.58,95,77,3.71,MG,1620781957
427,port blair,-7.0349,29.7638,68.4,74,0,6.2,CD,1620781759
428,coihaique,-45.5752,-72.0662,50.0,62,0,6.91,CL,1620781958
429,erzurum,40.0,41.5,32.0,74,0,2.3,TR,1620781959
430,sinnamary,5.3833,-52.95,78.06,85,100,11.3,GF,1620781959
431,xiamen,24.4798,118.0819,82.4,78,0,6.71,CN,1620781960
432,vila,42.0304,-8.1588,51.01,94,94,24.0,PT,1620781960
433,amursk,50.2261,136.8994,54.91,47,6,9.19,RU,1620781697
434,matadi,-5.8167,13.45,75.96,96,12,2.62,CD,1620781961
435,nicoya,10.1483,-85.452,80.6,74,40,5.75,CR,1620781803
436,namatanai,-3.6667,152.4333,84.34,69,63,3.51,PG,1620781962
437,kununurra,-15.7667,128.7333,84.2,30,0,14.97,AU,1620781962
438,maun,-19.9833,23.4167,60.8,55,0,5.75,BW,1620781963
439,presidente medici,-29.9461,-50.1113,57.85,76,100,7.87,BR,1620781963
440,del rio,38.7941,45.0665,50.0,76,0,6.91,IR,1620781964
441,angoche,-16.2325,39.9086,70.59,88,91,8.3,MZ,1620781964
442,posse,-14.0931,-46.3694,65.95,60,8,4.99,BR,1620781965
443,carutapera,-1.195,-46.02,74.71,94,42,4.76,BR,1620781966
444,mumford,5.2618,-0.759,79.52,83,0,7.16,GH,1620781966
445,siocon,7.7061,122.1353,84.49,75,71,4.14,PH,1620781967
446,petropavlovka,50.6114,105.3196,49.87,45,6,3.62,RU,1620781967
447,san policarpo,13.3034,-4.8956,90.52,32,99,8.7,ML,1620781806
448,cortez,37.3489,-108.5859,66.2,9,1,6.91,US,1620781968
449,mayo,38.8876,-76.5119,62.6,42,90,8.05,US,1620781826
450,arlit,18.7369,7.3853,90.03,8,0,7.49,NE,1620781968
451,altay,47.8667,88.1167,50.67,50,94,2.17,CN,1620781969
452,athabasca,54.7169,-113.2854,53.6,71,95,4.61,CA,1620781970
453,talnakh,69.4865,88.3972,33.48,100,100,3.76,RU,1620781970
454,chupa,66.27,33.0549,47.44,91,100,3.67,RU,1620781971
455,anadyr,64.75,177.4833,35.6,93,75,11.18,RU,1620781972
456,eydhafushi,5.1033,73.0708,80.01,89,100,15.55,MV,1620781972
457,nishihara,26.1842,127.7558,82.4,78,75,18.41,JP,1620781973
458,riyadh,24.6877,46.7219,82.4,30,0,7.0,SA,1620781960
459,plettenberg bay,51.2167,7.8833,52.0,74,100,6.33,DE,1620781973
460,riohacha,11.5444,-72.9072,82.4,67,98,18.66,CO,1620781886
461,poronaysk,49.2167,143.1167,43.12,61,99,9.82,RU,1620781974
462,sokolo,14.7328,-6.1219,93.7,25,81,6.87,ML,1620781974
463,shizunai,42.3339,142.3669,47.68,76,27,5.93,JP,1620781975
464,bowen,-20.0167,148.2333,80.6,74,75,8.05,AU,1620781975
465,wad rawah,55.5301,44.2114,51.82,95,19,6.4,RU,1620781976
466,vao,-22.6667,167.4833,74.91,78,97,19.64,NC,1620781976
467,klaksvik,62.2266,-6.589,37.4,75,40,8.05,FO,1620781977
468,marzuq,14.4,46.4667,77.16,49,94,4.12,YE,1620781977
469,buala,-8.145,159.5921,85.32,69,51,3.6,SB,1620781978
470,pemangkat,1.1667,108.9667,81.48,84,80,4.41,ID,1620781978
471,padang,-0.9492,100.3543,75.2,94,75,5.75,ID,1620781979
472,jining,35.405,116.5814,74.16,56,27,0.81,CN,1620781979
473,varna,43.2167,27.9167,46.0,75,0,3.44,BG,1620781980
474,morehead,37.2711,-87.1764,60.8,48,90,4.61,US,1620781980
475,turukhansk,65.8167,87.9833,41.74,76,100,10.89,RU,1620781784
476,camargo,27.6667,-105.1667,71.94,41,100,2.71,MX,1620781981
477,maceio,-9.6658,-35.7353,73.4,100,90,6.91,BR,1620781821
478,mukhen,48.1,136.1,60.06,43,63,5.06,RU,1620781982
479,tucuman,-26.8241,-65.2226,50.0,93,36,5.75,AR,1620781983
480,tornio,65.8481,24.1466,41.0,100,90,4.61,FI,1620781983
481,zhigansk,66.7697,123.3711,31.19,65,8,13.89,RU,1620781984
482,ustye,59.6304,39.736,48.15,88,6,4.56,RU,1620781985
483,bonnyville,54.2668,-110.735,59.0,51,75,14.97,CA,1620781985
484,sungaipenuh,-2.0833,101.3833,69.22,95,100,1.95,ID,1620781985
485,chilliwack,49.1747,-121.9443,71.01,46,85,5.75,CA,1620781986
486,moengo,5.6167,-54.4,73.94,94,99,2.46,SR,1620781987
487,wajir,1.7471,40.0573,77.27,62,100,14.67,KE,1620781987
488,sembe,1.6481,14.5806,70.5,96,15,1.7,CG,1620781987
489,sao luiz gonzaga,20.5113,76.2129,77.5,50,8,11.32,IN,1620781988
490,ullapool,57.8987,-5.1604,44.01,85,100,3.0,GB,1620781989
491,inongo,-1.95,18.2667,72.28,88,0,3.67,CD,1620781989
492,tuni,17.35,82.55,81.3,75,15,5.79,IN,1620781989
493,lakatoro,-16.0999,167.4164,82.78,74,37,15.59,VU,1620781990
494,churapcha,62.0025,132.4325,44.92,78,100,8.1,RU,1620781991
495,monrovia,6.3005,-10.7969,75.2,94,75,4.61,LR,1620781991
496,mana,5.6592,-53.7767,77.45,87,100,9.37,GF,1620781992
497,zhezkazgan,47.8043,67.7144,50.52,48,0,13.0,KZ,1620781992
498,fairbanks,64.8378,-147.7164,62.6,33,90,6.91,US,1620781842
499,harduaganj,27.95,78.1667,80.6,49,2,6.55,IN,1620781993
500,hailey,43.5196,-114.3153,57.2,35,75,8.05,US,1620781994
501,manhuacu,-20.2581,-42.0336,57.36,93,1,1.79,BR,1620781994
502,nome,64.5011,-165.4064,53.01,75,1,5.75,US,1620781726
503,lumding,25.7535,93.1732,70.12,96,100,1.16,IN,1620781995
504,koutsouras,35.0339,25.9469,63.12,58,0,8.32,GR,1620781995
505,pangnirtung,66.1451,-65.7125,18.82,94,34,5.44,CA,1620781996
506,northallerton,54.339,-1.4324,46.0,87,75,19.57,GB,1620781996
507,almaznyy,48.0448,40.045,46.4,93,75,15.66,RU,1620781784
508,mandal,25.45,74.5667,81.97,41,80,10.04,IN,1620781997
509,xining,36.6167,101.7667,57.81,43,0,1.92,CN,1620781997
510,noyabrsk,63.1994,75.4507,38.12,74,98,19.95,RU,1620781998
511,lasa,46.6166,10.7002,46.0,93,75,6.91,IT,1620781998
512,kamenka,51.3223,42.7678,42.58,85,100,8.1,RU,1620781999
513,santa marta,17.486,120.4348,89.42,59,1,4.52,PH,1620781999
514,chitral,35.8462,71.7858,59.45,53,0,4.92,PK,1620781999
515,port macquarie,-7.0349,29.7638,68.4,74,0,6.2,CD,1620781759
516,kachug,53.9606,105.8817,41.58,82,100,3.71,RU,1620782000
517,phan rang,19.5539,99.7405,86.0,94,20,2.3,TH,1620782000
518,toora-khem,52.4675,96.11,45.7,47,99,1.19,RU,1620782001
519,popova,42.9603,131.7228,50.0,71,40,15.66,RU,1620782001
520,luanda,-8.8368,13.2343,78.8,89,40,8.05,AO,1620782002
521,sitka,57.0531,-135.33,46.4,76,90,4.14,US,1620781726
522,divnogorsk,55.9594,92.3619,48.2,53,0,4.47,RU,1620782002
523,laguna,38.421,-121.4238,95.0,7,1,4.61,US,1620782003
524,don benito,50.5491,2.9182,50.0,81,0,4.61,FR,1620782003
525,paris,48.8534,2.3488,50.0,87,0,5.75,FR,1620781515
526,acarau,-2.8856,-40.12,77.65,86,46,9.37,BR,1620782004
527,portland,45.5234,-122.6762,75.99,28,75,8.05,US,1620781735
528,viedma,-40.8135,-62.9967,51.46,45,7,11.81,AR,1620782004
529,spas-klepiki,55.1347,40.1767,48.99,100,75,2.37,RU,1620782005
530,ponta delgada,38.7333,-28.2667,56.46,81,6,10.31,PT,1620782005
531,houston,29.7633,-95.3633,84.99,83,75,18.41,US,1620781318
532,marystown,47.1666,-55.1483,38.75,89,100,12.57,CA,1620782007
533,talcahuano,-36.7167,-73.1167,51.8,82,100,3.44,CL,1620782007
534,yerbogachen,61.2767,108.0108,35.11,58,100,8.32,RU,1620782008
